addr:street,amenity,building,healthcare,name,opening_hours,lon,lat,addr:city,website,addr:country,addr:province,building:levels,healthcare:speciality,historic,owner,source,wikidata,alt_name,shop,contact:phone,contact:website,postal_code,healthcare:for,description,gnis:feature_id,image,note,operator,operator:type,source:date,source_ref,brand,brand:wikidata,ele,height,name:tli,dispensing,operator:wikidata,operator:wikipedia,addr:unit,amenity_1,healthcare:counselling,wikipedia,office,health_facility_type,health_person:type,old_name,fax,contact:facebook,contact:instagram,email,start_date,payment:cash,payment:credit_cards,payment:debit_cards,landuse,addr:housename,wheelchair,addr:full,level,urgent_care,name:en,health_facility,drive_through,payment:apple_pay,contact:twitter,not:brand:wikidata,check_date:opening_hours,payment:american_express,payment:cheque,payment:discover_card,payment:mastercard,payment:visa,brand:website,short_name,branch,facebook,check_date,fixme,operator:short
Noble Street,clinic,yes,clinic,Tanana Valley Clinc,Mo-Fr 08:00-17:00,-147.7134107,64.8391017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meals Avenue,hospital,yes,hospital,Providence Valdez Medical Center,,-146.3466371,61.1365444,Valdez,https://alaska.providence.org/locations/p/pvmc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,doctors,yes,doctor,Bartlett Regional Hospital,,-134.4651892,58.3288757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Pioneer Avenue,clinic,yes,clinic,Clinic of Chiropractic Health,,-151.5456646,59.644649,Homer,,US,Kenai Peninsula Borough,1,chiropractic,Homer Public Library,James E. Heston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,,,-165.5789054,61.842427,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,Hooper Bay Sub Regional Clinic,,-166.1125454,61.5269859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,Medical Dental Arts Building,,-147.7432824,64.8300325,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,Fairbanks Imaging Center,,-147.7390011,64.8299353,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowles Street,hospital,hospital,hospital,Fairbanks Memorial Hospital,,-147.7405837,64.8317381,Fairbanks,http://www.fmhdc.com/,,,,,,,Bing,Q50036850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East End Road,doctors,yes,,Seldovia Village Tribe Health Center,,-151.5222133,59.650357,Homer,,,,,,,,Bing,,SVT Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
